Date,Price,
02/12/2014,189.919998,
03/12/2014,190.100006,
03/12/2014,190.649994,
04/12/2014,190.350006,
04/12/2014,190.460007,
05/12/2014,190.649994,
05/12/2014,190.800003,
08/12/2014,190.350006,
08/12/2014,189.5,
09/12/2014,187.429993,
09/12/2014,189.350006,
10/12/2014,188.860001,
10/12/2014,186.380005,
11/12/2014,186.979996,
11/12/2014,187.25,
12/12/2014,186,
12/12/2014,184.210007,
15/12/2014,185.259995,
15/12/2014,182.929993,
16/12/2014,182.100006,
16/12/2014,181.520004,
17/12/2014,181.970001,
17/12/2014,185.179993,
18/12/2014,186.740005,
18/12/2014,188.550003,
19/12/2014,189.289993,
19/12/2014,189.419998,
22/12/2014,189.570007,
22/12/2014,190.259995,
23/12/2014,190.940002,
23/12/2014,190.550003,
24/12/2014,190.809998,
24/12/2014,190.529999,
26/12/2014,191.059998,
26/12/2014,191.149994,
29/12/2014,190.970001,
29/12/2014,191.419998,
30/12/2014,190.949997,
30/12/2014,190.380005,
31/12/2014,190.75,
31/12/2014,188.399994,
02/01/2015,189.289993,
02/01/2015,188.399994,
05/01/2015,187.259995,
05/01/2015,185.089996,
06/01/2015,185.369995,
06/01/2015,183.270004,
07/01/2015,184.729996,
07/01/2015,185.559998,
08/01/2015,187.130005,
08/01/2015,188.820007,
09/01/2015,189.300003,
09/01/2015,187.229996,
12/01/2015,187.460007,
12/01/2015,185.839996,
13/01/2015,187.220001,
13/01/2015,185.350006,
14/01/2015,183.100006,
14/01/2015,184.259995,
15/01/2015,184.880005,
15/01/2015,182.539993,
16/01/2015,182.309998,
16/01/2015,184.800003,
20/01/2015,185.619995,
20/01/2015,185.259995,
21/01/2015,184.770004,
21/01/2015,186.229996,
22/01/2015,187.089996,
22/01/2015,189.080002,
23/01/2015,188.720001,
23/01/2015,188.039993,
26/01/2015,187.789993,
26/01/2015,188.410004,
27/01/2015,186.139999,
27/01/2015,185.940002,
28/01/2015,187.270004,
28/01/2015,183.490005,
29/01/2015,183.740005,
29/01/2015,185.270004,
30/01/2015,183.960007,
30/01/2015,182.990005,
02/02/2015,183.5,
02/02/2015,185.089996,
03/02/2015,186.130005,
03/02/2015,187.789993,
04/02/2015,187.029999,
04/02/2015,187.149994,
05/02/2015,187.889999,
05/02/2015,189.050003,
06/02/2015,189.490005,
06/02/2015,188.520004,
09/02/2015,187.809998,
09/02/2015,187.660004,
10/02/2015,188.820007,
10/02/2015,189.660004,
11/02/2015,189.509995,
11/02/2015,189.789993,
12/02/2015,190.699997,
12/02/2015,191.550003,
13/02/2015,191.720001,
13/02/2015,192.389999,
17/02/2015,192.070007,
17/02/2015,192.699997,
18/02/2015,192.279999,
18/02/2015,192.740005,
19/02/2015,192.089996,
19/02/2015,192.610001,
20/02/2015,192.130005,
20/02/2015,193.779999,
23/02/2015,193.490005,
23/02/2015,193.729996,
24/02/2015,193.690002,
24/02/2015,194.300003,
25/02/2015,194.139999,
25/02/2015,194.089996,
26/02/2015,193.990005,
26/02/2015,193.869995,
27/02/2015,193.770004,
27/02/2015,193.199997,
02/03/2015,193.309998,
02/03/2015,194.470001,
03/03/2015,193.960007,
03/03/2015,193.639999,
04/03/2015,193,
04/03/2015,192.830002,
05/03/2015,193.149994,
05/03/2015,193.039993,
06/03/2015,192,
06/03/2015,190.309998,
09/03/2015,190.520004,
09/03/2015,191.119995,
10/03/2015,189.570007,
10/03/2015,187.979996,
11/03/2015,188.259995,
11/03/2015,187.539993,
12/03/2015,188.210007,
12/03/2015,189.960007,
13/03/2015,189.679993,
13/03/2015,188.800003,
16/03/2015,189.589996,
16/03/2015,191.380005,
17/03/2015,190.479996,
17/03/2015,190.729996,
18/03/2015,190.169998,
18/03/2015,193,
19/03/2015,192.559998,
19/03/2015,192.110001,
20/03/2015,193.190002,
20/03/2015,193.850006,
23/03/2015,192.850006,
23/03/2015,192.520004,
24/03/2015,192.380005,
24/03/2015,191.399994,
25/03/2015,191.639999,
25/03/2015,188.610001,
26/03/2015,187.880005,
26/03/2015,188.139999,
27/03/2015,188.039993,
27/03/2015,188.529999,
30/03/2015,189.75,
30/03/2015,190.880005,
31/03/2015,189.979996,
31/03/2015,189.199997,
01/04/2015,189.169998,
01/04/2015,188.589996,
02/04/2015,188.470001,
02/04/2015,189.149994,
06/04/2015,188.229996,
06/04/2015,190.479996,
07/04/2015,190.479996,
07/04/2015,189.970001,
08/04/2015,190.240005,
08/04/2015,190.660004,
09/04/2015,190.449997,
09/04/2015,191.490005,
10/04/2015,191.740005,
10/04/2015,192.539993,
13/04/2015,192.360001,
13/04/2015,191.669998,
14/04/2015,191.419998,
14/04/2015,192.020004,
15/04/2015,192.539993,
15/04/2015,192.899994,
16/04/2015,192.550003,
16/04/2015,192.830002,
17/04/2015,191.529999,
17/04/2015,190.589996,
20/04/2015,191.669998,
20/04/2015,192.330002,
21/04/2015,193.110001,
21/04/2015,192.139999,
22/04/2015,192.490005,
22/04/2015,193.089996,
23/04/2015,192.649994,
23/04/2015,193.589996,
24/04/2015,194.020004,
24/04/2015,193.979996,
27/04/2015,194.630005,
27/04/2015,193.210007,
28/04/2015,193.169998,
28/04/2015,193.809998,
29/04/2015,192.809998,
29/04/2015,193.020004,
30/04/2015,192.399994,
30/04/2015,191.100006,
01/05/2015,191.960007,
01/05/2015,193.100006,
04/05/2015,193.639999,
04/05/2015,193.699997,
05/05/2015,193.399994,
05/05/2015,191.440002,
06/05/2015,192.089996,
06/05/2015,190.669998,
07/05/2015,190.589996,
07/05/2015,191.440002,
08/05/2015,193.300003,
08/05/2015,193.949997,
11/05/2015,193.929993,
11/05/2015,193.020004,
12/05/2015,192.149994,
12/05/2015,192.460007,
13/05/2015,192.960007,
13/05/2015,192.520004,
14/05/2015,193.639999,
14/05/2015,194.529999,
15/05/2015,194.679993,
15/05/2015,194.729996,
18/05/2015,194.630005,
18/05/2015,195.330002,
19/05/2015,195.440002,
19/05/2015,195.229996,
20/05/2015,195.369995,
20/05/2015,195.100006,
21/05/2015,195.050003,
21/05/2015,195.690002,
22/05/2015,195.309998,
22/05/2015,195.259995,
26/05/2015,194.729996,
26/05/2015,193.160004,
27/05/2015,193.660004,
27/05/2015,194.940002,
28/05/2015,194.660004,
28/05/2015,194.759995,
29/05/2015,194.669998,
29/05/2015,193.490005,
01/06/2015,194.229996,
01/06/2015,193.940002,
02/06/2015,193.429993,
02/06/2015,193.740005,
03/06/2015,194.309998,
03/06/2015,194.270004,
04/06/2015,193.520004,
04/06/2015,192.690002,
05/06/2015,192.479996,
05/06/2015,192.300003,
08/06/2015,192.169998,
08/06/2015,191.110001,
09/06/2015,191.100006,
09/06/2015,191.059998,
10/06/2015,191.960007,
10/06/2015,193.330002,
11/06/2015,193.949997,
11/06/2015,193.929993,
12/06/2015,193.009995,
12/06/2015,192.509995,
15/06/2015,191.220001,
15/06/2015,191.619995,
16/06/2015,191.5,
16/06/2015,192.740005,
17/06/2015,193.059998,
17/06/2015,193.070007,
18/06/2015,193.610001,
18/06/2015,194.979996,
19/06/2015,194.800003,
19/06/2015,193.850006,
22/06/2015,194.369995,
22/06/2015,194.270004,
23/06/2015,194.479996,
23/06/2015,194.410004,
24/06/2015,194.179993,
24/06/2015,193.020004,
25/06/2015,193.509995,
25/06/2015,192.419998,
26/06/2015,192.820007,
26/06/2015,192.419998,
29/06/2015,190.779999,
29/06/2015,188.350006,
30/06/2015,190.179993,
30/06/2015,188.839996,
01/07/2015,190.649994,
01/07/2015,190.270004,
02/07/2015,190.850006,
02/07/2015,190.130005,
06/07/2015,188.720001,
06/07/2015,189.580002,
07/07/2015,189.860001,
07/07/2015,190.75,
08/07/2015,189.360001,
08/07/2015,187.509995,
09/07/2015,189.899994,
09/07/2015,187.850006,
10/07/2015,190.179993,
10/07/2015,190.240005,
13/07/2015,191.589996,
13/07/2015,192.369995,
14/07/2015,192.369995,
14/07/2015,193.220001,
15/07/2015,193.289993,
15/07/2015,193.139999,
16/07/2015,194.309998,
16/07/2015,194.619995,
17/07/2015,194.679993,
17/07/2015,194.850006,
20/07/2015,195.089996,
20/07/2015,194.940002,
21/07/2015,194.820007,
21/07/2015,194.169998,
22/07/2015,193.380005,
22/07/2015,193.789993,
23/07/2015,194,
23/07/2015,192.679993,
24/07/2015,192.860001,
24/07/2015,190.669998,
27/07/2015,189.779999,
27/07/2015,189.589996,
28/07/2015,190.589996,
28/07/2015,191.889999,
29/07/2015,192.070007,
29/07/2015,193.25,
30/07/2015,192.770004,
30/07/2015,193.279999,
31/07/2015,193.919998,
31/07/2015,192.949997,
03/08/2015,193,
03/08/2015,192.350006,
04/08/2015,192.350006,
04/08/2015,191.970001,
05/08/2015,193.039993,
05/08/2015,192.639999,
06/08/2015,192.770004,
06/08/2015,191.169998,
07/08/2015,190.880005,
07/08/2015,190.669998,
10/08/2015,191.899994,
10/08/2015,193.089996,
11/08/2015,191.639999,
11/08/2015,191.320007,
12/08/2015,189.880005,
12/08/2015,191.490005,
13/08/2015,191.419998,
13/08/2015,191.279999,
14/08/2015,191.119995,
14/08/2015,192.020004,
17/08/2015,191.419998,
17/08/2015,193.089996,
18/08/2015,192.839996,
18/08/2015,192.5,
19/08/2015,191.779999,
19/08/2015,190.979996,
20/08/2015,189.360001,
20/08/2015,186.970001,
21/08/2015,185.080002,
21/08/2015,181.039993,
24/08/2015,172,
24/08/2015,173.660004,
25/08/2015,179.160004,
25/08/2015,171.550003,
26/08/2015,176.229996,
26/08/2015,178.360001,
27/08/2015,180.800003,
27/08/2015,182.720001,
28/08/2015,181.970001,
28/08/2015,182.720001,
31/08/2015,181.679993,
31/08/2015,181.110001,
01/09/2015,177.110001,
01/09/2015,175.580002,
02/09/2015,178.479996,
02/09/2015,179.119995,
03/09/2015,179.960007,
03/09/2015,179.270004,
04/09/2015,176.880005,
04/09/2015,176.490005,
08/09/2015,179.669998,
08/09/2015,181.009995,
09/09/2015,182.800003,
09/09/2015,178.570007,
10/09/2015,178.25,
10/09/2015,179.570007,
11/09/2015,179.089996,
11/09/2015,180.320007,
14/09/2015,180.580002,
14/09/2015,179.639999,
15/09/2015,180.220001,
15/09/2015,181.979996,
16/09/2015,182.339996,
16/09/2015,183.570007,
17/09/2015,183.399994,
17/09/2015,183.089996,
18/09/2015,180.410004,
18/09/2015,180.130005,
21/09/2015,180.149994,
21/09/2015,180.100006,
22/09/2015,177.800003,
22/09/2015,177.75,
23/09/2015,177.990005,
23/09/2015,177.429993,
24/09/2015,176.050003,
24/09/2015,176.880005,
25/09/2015,178.479996,
25/09/2015,176.759995,
28/09/2015,175.860001,
28/09/2015,172.309998,
29/09/2015,172.669998,
29/09/2015,172.399994,
30/09/2015,174.559998,
30/09/2015,175.710007,
01/10/2015,175.970001,
01/10/2015,176.199997,
02/10/2015,174,
02/10/2015,178.75,
05/10/2015,180.139999,
05/10/2015,181.960007,
06/10/2015,181.880005,
