Date,Price
5/9/2014 9:00:00,183.529999
5/9/2014 16:00:00,184.440002
8/9/2014 9:00:00,184.240005
8/9/2014 16:00:00,183.970001
9/9/2014 9:00:00,183.789993
9/9/2014 16:00:00,182.779999
10/9/2014 9:00:00,182.889999
10/9/2014 16:00:00,183.5
11/9/2014 9:00:00,182.75
11/9/2014 16:00:00,183.669998
12/9/2014 9:00:00,183.490005
12/9/2014 16:00:00,182.580002
15/9/2014 9:00:00,182.639999
15/9/2014 16:00:00,182.460007
16/9/2014 9:00:00,182.110001
16/9/2014 16:00:00,183.820007
17/9/2014 9:00:00,184.110001
17/9/2014 16:00:00,184.080002
18/9/2014 9:00:00,184.649994
18/9/2014 16:00:00,185.039993
19/9/2014 9:00:00,185.639999
19/9/2014 16:00:00,184.860001
22/9/2014 9:00:00,183.699997
22/9/2014 16:00:00,182.559998
23/9/2014 9:00:00,181.949997
23/9/2014 16:00:00,181.529999
24/9/2014 9:00:00,181.619995
24/9/2014 16:00:00,182.990005
25/9/2014 9:00:00,182.5
25/9/2014 16:00:00,180.050003
26/9/2014 9:00:00,180.360001
26/9/2014 16:00:00,181.5
29/9/2014 9:00:00,179.929993
29/9/2014 16:00:00,181.139999
30/9/2014 9:00:00,181.300003
30/9/2014 16:00:00,180.589996
1/10/2014 9:00:00,180.339996
1/10/2014 16:00:00,178.220001
2/10/2014 9:00:00,178.050003
2/10/2014 16:00:00,178.210007
3/10/2014 9:00:00,179.479996
3/10/2014 16:00:00,180.199997
6/10/2014 9:00:00,180.940002
6/10/2014 16:00:00,179.979996
7/10/2014 9:00:00,179.050003
7/10/2014 16:00:00,177.220001
8/10/2014 9:00:00,177.330002
8/10/2014 16:00:00,180.320007
9/10/2014 9:00:00,180
9/10/2014 16:00:00,176.679993
10/10/2014 9:00:00,176.649994
10/10/2014 16:00:00,174.699997
13/10/2014 9:00:00,174.630005
13/10/2014 16:00:00,171.830002
14/10/2014 9:00:00,172.729996
14/10/2014 16:00:00,172.110001
15/10/2014 9:00:00,169.800003
15/10/2014 16:00:00,170.830002
16/10/2014 9:00:00,167.820007
16/10/2014 16:00:00,170.720001
17/10/2014 9:00:00,172.729996
17/10/2014 16:00:00,172.830002
20/10/2014 9:00:00,172.529999
20/10/2014 16:00:00,174.529999
21/10/2014 9:00:00,175.779999
21/10/2014 16:00:00,177.919998
22/10/2014 9:00:00,178.289993
22/10/2014 16:00:00,176.710007
23/10/2014 9:00:00,178.449997
23/10/2014 16:00:00,178.740005
24/10/2014 9:00:00,179.029999
24/10/2014 16:00:00,180.080002
27/10/2014 9:00:00,179.509995
27/10/2014 16:00:00,179.850006
28/10/2014 9:00:00,180.490005
28/10/2014 16:00:00,181.919998
29/10/2014 9:00:00,182.029999
29/10/2014 16:00:00,181.710007
30/10/2014 9:00:00,181.169998
30/10/2014 16:00:00,182.860001
31/10/2014 9:00:00,185.020004
31/10/2014 16:00:00,184.929993
3/11/2014 9:00:00,185.199997
3/11/2014 16:00:00,185.039993
4/11/2014 9:00:00,184.559998
4/11/2014 16:00:00,184.380005
5/11/2014 9:00:00,185.740005
5/11/2014 16:00:00,185.589996
6/11/2014 9:00:00,185.570007
6/11/2014 16:00:00,186.339996
7/11/2014 9:00:00,186.339996
7/11/2014 16:00:00,186.5
10/11/2014 9:00:00,186.479996
10/11/2014 16:00:00,187.059998
11/11/2014 9:00:00,187.139999
11/11/2014 16:00:00,187.240005
12/11/2014 9:00:00,186.490005
12/11/2014 16:00:00,187.089996
13/11/2014 9:00:00,187.240005
13/11/2014 16:00:00,187.259995
14/11/2014 9:00:00,187.190002
14/11/2014 16:00:00,187.330002
17/11/2014 9:00:00,186.929993
17/11/2014 16:00:00,187.429993
18/11/2014 9:00:00,187.479996
18/11/2014 16:00:00,188.509995
19/11/2014 9:00:00,188.25
19/11/2014 16:00:00,188.169998
20/11/2014 9:00:00,187.289993
20/11/2014 16:00:00,188.509995
21/11/2014 9:00:00,190.429993
21/11/2014 16:00:00,189.570007
24/11/2014 9:00:00,190.020004
24/11/2014 16:00:00,190.059998
25/11/2014 9:00:00,190.339996
25/11/2014 16:00:00,190
26/11/2014 9:00:00,190.100006
26/11/2014 16:00:00,190.440002
28/11/2014 9:00:00,190.300003
28/11/2014 16:00:00,190.029999
1/12/2014 9:00:00,189.289993
1/12/2014 16:00:00,188.729996
2/12/2014 9:00:00,188.710007
2/12/2014 16:00:00,189.919998
3/12/2014 9:00:00,190.100006
3/12/2014 16:00:00,190.649994
4/12/2014 9:00:00,190.350006
4/12/2014 16:00:00,190.460007
5/12/2014 9:00:00,190.649994
5/12/2014 16:00:00,190.800003
8/12/2014 9:00:00,190.350006
8/12/2014 16:00:00,189.5
9/12/2014 9:00:00,187.429993
9/12/2014 16:00:00,189.350006
10/12/2014 9:00:00,188.860001
10/12/2014 16:00:00,186.380005
11/12/2014 9:00:00,186.979996
11/12/2014 16:00:00,187.25
12/12/2014 9:00:00,186
